State,year,number_of_women_per_facility,log_number_of_women_per_facility
WY,2018,61443.0,11.025881469869036
AK,2018,27138.0,10.208727086726242
CA,2018,62619.0,11.044839994880396
HI,2018,99798.0,11.510913442209274
OR,2018,79147.0,11.279074796512331
WA,2018,55535.0,10.924786738101567
CT,2019,43686.0,10.684805853989356
ME,2019,15276.0,9.634103708365723
MA,2019,100874.0,11.52163740557225
NH,2019,48183.0,10.782782294723557
RI,2019,80251.0,11.292926962800092
VT,2019,22205.0,10.008117801614212
NJ,2019,44781.0,10.709561551951284
NY,2019,50397.0,10.827706770732405
PA,2019,173246.0,12.06247360088491
IL,2019,99837.0,11.511304151351329
IN,2019,216785.0,12.286665970816776
MI,2019,104220.0,11.554268923504488
OH,2019,257095.0,12.45720483498437
WI,2019,314906.0,12.660032636121185
IA,2019,113702.0,11.641345064614818
KS,2019,160156.0,11.983909863104884
MN,2019,248807.0,12.424436793671058
MO,2019,678931.0,13.428276254250354
NE,2019,142036.0,11.863842866022937
ND,2019,165556.0,12.017070825379577
SD,2019,184364.0,12.124672767317191
DE,2019,104454.0,11.55651163563315
FL,2019,79984.0,11.289594396075696
GA,2019,158681.0,11.974657478531695
MD,2019,65640.0,11.091955779701022
NC,2019,171254.0,12.050908952778537
SC,2019,380350.0,12.848849789579345
VA,2019,129297.0,11.76987509673622
WV,2019,371751.0,12.82598224426758
AL,2019,368957.0,12.818438095406336
KY,2019,986520.0,13.80193989159786
MS,2019,676441.0,13.42460198751468
TN,2019,194283.0,12.177076285088582
AR,2019,223439.0,12.316898200619057
LA,2019,352594.0,12.773075368471003
OK,2019,221773.0,12.309414124304109
TX,2019,302130.0,12.618615977138338
AZ,2019,201690.0,12.214492102222922
CO,2019,71121.0,11.172151991277198
ID,2019,98720.0,11.500052968747553
MT,2019,37214.0,10.52446718479401
NV,2019,99847.0,11.511404308598289
NM,2019,91212.0,11.420952709763661
UT,2019,394241.0,12.884720212926318
WY,2019,61534.0,11.027361397606438
AK,2019,26917.0,10.200550486793661
CA,2019,59266.0,10.989807937674978
HI,2019,99090.0,11.503793898837728
OR,2019,79760.0,11.286789942169964
WA,2019,56153.0,10.935853195385311
CT,2020,65529.0,11.090263332033542
ME,2020,13749.0,9.528794103094718
MA,2020,89666.0,11.403858087381076
NH,2020,57820.0,10.965107310474394
RI,2020,120377.0,11.698392070908255
VT,2020,22205.0,10.008117801614212
NJ,2020,45823.0,10.732563250320318
NY,2020,47716.0,10.77304300751311
PA,2020,163055.0,12.001848979068475
IL,2020,96509.0,11.477401908901182
IN,2020,216785.0,12.286665970816776
MI,2020,99483.0,11.50775210619623
OH,2020,285661.0,12.562564572722364
WI,2020,314906.0,12.660032636121185
IA,2020,113702.0,11.641345064614818
KS,2020,160156.0,11.983909863104884
MN,2020,248807.0,12.424436793671058
MO,2020,1357862.0,14.12142269835925
NE,2020,142036.0,11.863842866022937
ND,2020,165556.0,12.017070825379577
SD,2020,184364.0,12.124672767317191
DE,2020,104454.0,11.55651163563315
FL,2020,86020.0,11.362346731473597
GA,2020,181350.0,12.108189658894908
MD,2020,72550.0,11.19204504181486
NC,2020,149847.0,11.917376725975728
SC,2020,380350.0,12.848849789579345
VA,2020,121216.0,11.705337606807674
WV,2020,371751.0,12.82598224426758
AL,2020,368957.0,12.818438095406336
KY,2020,986520.0,13.80193989159786
MS,2020,676441.0,13.42460198751468
TN,2020,194283.0,12.177076285088582
AR,2020,335159.0,12.722363308727223
LA,2020,352594.0,12.773075368471003
OK,2020,221773.0,12.309414124304109
TX,2020,315863.0,12.66306702018227
AZ,2020,201690.0,12.214492102222922
CO,2020,58752.0,10.981097494532479
ID,2020,98720.0,11.500052968747553
MT,2020,37214.0,10.52446718479401
NV,2020,77659.0,11.260095603285658
NM,2020,91212.0,11.420952709763661
UT,2020,394241.0,12.884720212926318
WY,2020,61534.0,11.027361397606438
AK,2020,32300.0,10.382853468483827
CA,2020,57085.0,10.952314181693703
HI,2020,99090.0,11.503793898837728
OR,2020,73625.0,11.206753503204602
WA,2020,54398.0,10.904101050322135
CT,2021,43686.0,10.684805853989356
ME,2021,13094.0,9.479985756941812
MA,2021,84946.0,11.34978281158538
NH,2021,41300.0,10.628641991731053
RI,2021,80251.0,11.292926962800092
VT,2021,19033.0,9.85398213263229
NJ,2021,45823.0,10.732563250320318
NY,2021,50397.0,10.827706770732405
PA,2021,173246.0,12.06247360088491
IL,2021,99837.0,11.511304151351329
IN,2021,216785.0,12.286665970816776
MI,2021,78165.0,11.266590049379342
OH,2021,285661.0,12.562564572722364
WI,2021,314906.0,12.660032636121185
IA,2021,97458.0,11.487187055725116
KS,2021,160156.0,11.983909863104884
MN,2021,138226.0,11.836652540264053
MO,2021,1357862.0,14.12142269835925
NE,2021,142036.0,11.863842866022937
ND,2021,165556.0,12.017070825379577
SD,2021,184364.0,12.124672767317191
DE,2021,69636.0,11.151051314263803
FL,2021,82892.0,11.325305898474973
GA,2021,169260.0,12.039197181277068
MD,2021,65640.0,11.091955779701022
NC,2021,149847.0,11.917376725975728
SC,2021,380350.0,12.848849789579345
VA,2021,114086.0,11.644716594214456
WV,2021,371751.0,12.82598224426758
AL,2021,221374.0,12.307613375085134
KY,2021,493260.0,13.108793724700567
MS,2021,676441.0,13.42460198751468
TN,2021,222038.0,12.310608321100927
AR,2021,335159.0,12.722363308727223
LA,2021,352594.0,12.773075368471003
OK,2021,295697.0,12.597093942205927
TX,2021,315863.0,12.66306702018227
AZ,2021,201690.0,12.214492102222922
CO,2021,54052.0,10.897720325689868
ID,2021,98720.0,11.500052968747553
MT,2021,31898.0,10.370329940319197
NV,2021,69893.0,11.154735087627833
NM,2021,76010.0,11.238633345637208
UT,2021,394241.0,12.884720212926318
WY,2021,123068.0,11.720500452676314
AK,2021,32300.0,10.382853468483827
CA,2021,55386.0,10.922100188159392
HI,2021,99090.0,11.503793898837728
OR,2021,68366.0,11.132645531050882
WA,2021,58024.0,10.968629231142637
CT,2022,35743.0,10.484137701868928
ME,2022,10576.0,9.266437111328052
MA,2022,76856.0,11.249701831350821
NH,2022,57820.0,10.965107310474394
RI,2022,60188.0,11.00524489034831
VT,2022,14803.0,9.602652693506046
NJ,2022,43786.0,10.687092248656647
NY,2022,42314.0,10.652896912104206
PA,2022,145891.0,11.890621900930778
IL,2022,72382.0,11.18972674417258
IN,2022,216785.0,12.286665970816776
MI,2022,84178.0,11.340700762947753
OH,2022,285661.0,12.562564572722364
WI,2022,,
IA,2022,97458.0,11.487187055725116
KS,2022,160156.0,11.983909863104884
MN,2022,124403.0,11.731289613111112
MO,2022,,
NE,2022,142036.0,11.863842866022937
ND,2022,165556.0,12.017070825379577
SD,2022,,
DE,2022,41781.0,10.640220903758994
FL,2022,84427.0,11.343654379120508
GA,2022,169260.0,12.039197181277068
MD,2022,59932.0,11.000982550600819
NC,2022,141032.0,11.85674918452981
SC,2022,380350.0,12.848849789579345
VA,2022,92355.0,11.433405953738895
WV,2022,,
AL,2022,,
KY,2022,,
MS,2022,,
TN,2022,,
AR,2022,,
LA,2022,,
OK,2022,,
TX,2022,,
AZ,2022,201690.0,12.214492102222922
CO,2022,56304.0,10.938538620131126
ID,2022,,
MT,2022,24809.0,10.119002076685847
NV,2022,69893.0,11.154735087627833
NM,2022,57008.0,10.950964429089467
UT,2022,197120.0,12.191573032366373
WY,2022,61534.0,11.027361397606438
AK,2022,40376.0,10.606015594901825
CA,2022,50846.0,10.836576402686164
HI,2022,99090.0,11.503793898837728
OR,2022,63808.0,11.063649525214753
WA,2022,52749.0,10.873319051338314
CT,2023,29816.0,10.302833979636116
ME,2023,9066.0,9.112396727646056
MA,2023,73261.0,11.201797335987466
NH,2023,29132.0,10.279626831262464
RI,2023,30842.0,10.336665099210828
VT,2023,15268.0,9.633579908183512
NJ,2023,44346.0,10.699800341706831
NY,2023,50081.0,10.821416941078791
PA,2023,116862.0,11.668757587522881
IL,2023,59448.0,10.992874081119592
IN,2023,1529132.0,14.240211466085716
MI,2023,65994.0,11.097334260563056
OH,2023,233214.0,12.359716053859856
WI,2023,316079.0,12.663750625085273
IA,2023,77452.0,11.257426579762374
KS,2023,64939.0,11.081219045656837
MN,2023,83802.0,11.33622408535206
MO,2023,686309.0,13.439084699677938
NE,2023,87340.0,11.377575276481679
ND,2023,57985.0,10.967956881081538
SD,2023,94338.0,11.454649956824472
DE,2023,21699.0,9.98506753952855
FL,2023,82177.0,11.316642905319645
GA,2023,153070.0,11.93865714502319
MD,2023,41047.0,10.622497392621801
NC,2023,143745.0,11.875803132185487
SC,2023,233890.0,12.36261047384993
VA,2023,79509.0,11.28363807889553
WV,2023,367420.0,12.814263608540134
AL,2023,1149153.0,13.954536577440678
KY,2023,497944.0,13.11824490814058
MS,2023,675326.0,13.422952296993785
TN,2023,1602667.0,14.28718029847548
AR,2023,336300.0,12.725761871259474
LA,2023,1043369.0,13.857966417000666
OK,2023,912523.0,13.723969665462771
TX,2023,7211901.0,15.79124327474935
AZ,2023,181815.0,12.11075046565385
CO,2023,41885.0,10.642706921198457
ID,2023,217428.0,12.289627639437182
MT,2023,21704.0,9.985297927733694
NV,2023,51531.0,10.849958252911415
NM,2023,20320.0,9.919410113079943
UT,2023,140533.0,11.853204731362945
WY,2023,24753.0,10.116742371099967
AK,2023,32836.0,10.399311207383771
CA,2023,47256.0,10.763356070097183
HI,2023,37707.0,10.53762755251604
OR,2023,41777.0,10.640125164170602
WA,2023,44672.0,10.707124571258316
