state,Year,AbortionTotal
NV,2018,9890
NY,2018,108730
OH,2018,20810
OK,2018,6580
OR,2018,8810
PA,2018,33170
RI,2018,3180
SC,2018,11390
SD,2018,750
TN,2018,10990
TX,2018,58410
US,2018,885800
UT,2018,3050
VA,2018,20900
VT,2018,1080
WA,2018,18160
WI,2018,8020
WV,2018,2130
WY,2018,710
AK,2019,1440
AL,2019,8030
AR,2019,3660
AZ,2019,13620
CA,2019,148440
CO,2019,11280
CT,2019,11900
DC,2019,5030
DE,2019,3080
FL,2019,70630
GA,2019,34560
HI,2019,3130
IA,2019,3490
ID,2019,1980
IL,2019,44450
IN,2019,10340
KS,2019,3610
KY,2019,4770
LA,2019,7830
MA,2019,19170
MD,2019,28770
ME,2019,2080
MI,2019,27990
MN,2019,10520
MO,2019,10100
MS,2019,5010
MT,2019,1470
NC,2019,24800
ND,2019,950
NE,2019,2070
NH,2019,2370
NJ,2019,47870
NM,2019,3760
NV,2019,10120
NY,2019,114410
OH,2019,21120
OK,2019,8370
OR,2019,8660
PA,2019,32730
RI,2019,3010
SC,2019,11390
SD,2019,750
TN,2019,10800
TX,2019,60470
US,2019,916460
UT,2019,3110
VA,2019,21890
VT,2019,1040
WA,2019,18560
WI,2019,8440
WV,2019,1870
WY,2019,700
AK,2020,1320
AL,2020,9060
AR,2020,4510
AZ,2020,13820
CA,2020,152400
CO,2020,11830
CT,2020,11460
DC,2020,5010
DE,2020,2870
FL,2020,73830
GA,2020,36470
HI,2020,3120
IA,2020,3510
ID,2020,2130
IL,2020,42250
IN,2020,10810
KS,2020,4120
KY,2020,5690
LA,2020,7760
MA,2020,17460
MD,2020,29590
ME,2020,2370
MI,2020,30150
MN,2020,10380
MO,2020,11710
MS,2020,5760
MT,2020,1510
NC,2020,27030
ND,2020,960
NE,2020,2020
NH,2020,2150
NJ,2020,48390
NM,2020,3950
NV,2020,10870
NY,2020,105990
OH,2020,21920
OK,2020,8330
OR,2020,8110
PA,2020,34950
RI,2020,2910
SC,2020,11830
SD,2020,680
TN,2020,10460
TX,2020,61500
US,2020,930160
UT,2020,3220
VA,2020,23390
VT,2020,1100
WA,2020,17910
WI,2020,8290
WV,2020,1780
WY,2020,700
